0.2275	22	9.55531	0.071999
0.2275	26	12.129	0.235448
#FIXME -- Non riesce a calcolare l'errore...
#0.2327	22	14.9581	-nan
#0.2327	22	14.9581	
0.224	24	5.7319	0.0189612
#0.2327	26	inf	-nan
0.2255	24	7.73379	0.0366461

0.2275	24	10.7261	0.124512
#0.221	28	3.43449	0.0193391
#0.221	30	3.48047	0.0189421
#0.222	28	4.08026	0.015456
#0.2327	24	inf	-nan
#0.222	30	4.22266	0.0157441
0.223	28	5.14535	0.0167047
#0.221	32	3.49624	0.0193494
0.224	28	6.73138	0.0261843
0.223	30	5.4777	0.0182332
0.2255	28	9.61777	0.0704146
0.224	30	7.29971	0.0309465
#0.222	32	4.30644	0.0155316
0.2275	28	14.1006	0.700501
0.2255	30	10.6314	0.105789
0.2275	30	14.5751	0.979018
#0.2327	28	inf	-nan
#0.2327	30	inf	-nan
0.223	32	5.77072	0.0219172
0.224	32	7.93901	0.0377681
0.2255	32	11.8058	0.178579
#0.2275	32	inf	-nan
#0.2327	32	inf	-nan
0.223	10	2.95888	0.010205
0.223	10	2.96567	0.0101907
#0.222	5	2.08109	0.00960107
#0.222	5	2.08275	0.00918802
#0.222	6	2.27047	0.00938611
#0.222	7	2.45029	0.0101986
#0.222	5	2.06055	0.009592
#0.222	6	2.26719	0.00941724
#0.222	7	2.41661	0.0105994
#0.222	8	2.57322	0.00993966
0.2293  4       2.09003 0.00237561
0.2293  6       2.83449 0.00274737
0.2293  8       3.57925 0.00347835
0.2293  10      4.38879 0.00373809
0.2293  12      5.32619 0.00478717
0.2293  14      6.37661 0.00672318
0.2293  16      7.57857 0.0104646
0.23    4       2.11708 0.00288164
0.23    6       2.89441 0.00279886
0.23    8       3.69189 0.00334104
0.23    10      4.57372 0.00415288
0.23    12      5.59368 0.00532275
0.23    14      6.76623 0.00838079
0.23    16      8.10161 0.0126871
0.235   4       2.31035 0.00242697
0.235   6       3.37384 0.0031899
0.235   8       4.57687 0.00427597
0.235   10      6.02393 0.00584246
0.235   12      7.7726  0.013461
0.235   14      9.85764 0.0306705
0.235   16      12.228  0.0953613
0.235   18      15.2683 0.444542
0.2248  4       1.9304  0.0029343
0.2248  6       2.48532 0.00295636
0.2248  8       2.9291  0.00369637
0.2248  10      3.34389 0.00371364
0.2248  12      3.7553  0.00478483
0.2248  14      4.18926 0.00522346
0.2248  16      4.65643 0.0057582
0.2248  18      5.15465 0.00571795
0.2248  20      5.68368 0.00594978
0.237   4       2.39566 0.00236198
0.237   6       3.57112 0.00322967
0.237   8       4.9613  0.00524699
0.237   10      6.6586  0.00838512
0.237   12      8.73934 0.0220601
0.237   14      11.1987 0.0612187
0.237   16      14.109  0.274267
0.2265  4       1.98723 0.00240764
0.2265  6       2.60634 0.00335058
0.2265  8       3.14995 0.00358894
0.2265  10      3.70489 0.00454416
0.2265  4       1.98723 0.00240764
0.2265  6       2.60634 0.00335058
0.2265  8       3.14995 0.00358894
0.2265  10      3.70489 0.00454416
0.2265  12      4.30579 0.00426711
0.2265  14      4.94936 0.00489356
0.2265  16      5.66424 0.00658532
0.2265  18      6.45615 0.00734448
0.2265  20      7.31592 0.00926555
0.2293  18      8.98964 0.0193228
0.2293  20      10.5006 0.0371719
0.2293  22      12.2837 0.0846109
0.2293  24      14.4033 0.250744
0.2391  16      15.3328 0.569196
0.23    18      9.65292 0.0234679
0.23    20      11.3778 0.0544128
0.23    22      13.523  0.146821
#0.2327  22      17.2607 -nan

